Date/Time,Resting Energy (kcal),Source
2026-01-07 16:08:12,2,Q
2026-01-07 16:09:12,2.04,Q
2026-01-07 16:10:12,2.04,Q
2026-01-07 16:11:12,2.04,Q
2026-01-07 16:12:12,2.04,Q
2026-01-07 16:13:12,2.04,Q
2026-01-07 16:14:12,2.04,Q
2026-01-07 16:15:12,2.04,Q
2026-01-07 16:16:12,2.04,Q
2026-01-07 16:17:12,2.04,Q
2026-01-07 16:18:12,2.04,Q
2026-01-07 16:19:12,2.04,Q
2026-01-07 16:20:12,2.04,Q
2026-01-07 16:21:12,2.04,Q
2026-01-07 16:22:12,2.04,Q
2026-01-07 16:23:12,2.04,Q
2026-01-07 16:24:12,2.04,Q
2026-01-07 16:25:12,2.04,Q
2026-01-07 16:26:12,2.04,Q
2026-01-07 16:27:12,2.04,Q
2026-01-07 16:28:12,2.04,Q
2026-01-07 16:29:12,2.04,Q
2026-01-07 16:30:12,2.04,Q
2026-01-07 16:31:12,2.04,Q
2026-01-07 16:32:12,2.04,Q
2026-01-07 16:33:12,2.04,Q
2026-01-07 16:34:12,2.04,Q
2026-01-07 16:35:12,2.04,Q
2026-01-07 16:36:12,2.04,Q
2026-01-07 16:37:12,2.04,Q
2026-01-07 16:38:12,1.77,Q
