Date/Time,Walking + Running Distance (mi),Source
2026-01-07 16:27:12,0,Q|Moneypenny
2026-01-07 16:28:12,0.011,Q|Moneypenny
2026-01-07 16:29:12,0.011,Q|Moneypenny
2026-01-07 16:30:12,0.011,Q|Moneypenny
2026-01-07 16:31:12,0.011,Q|Moneypenny
2026-01-07 16:32:12,0.011,Q|Moneypenny
2026-01-07 16:33:12,0.011,Q|Moneypenny
2026-01-07 16:34:12,0.011,Q|Moneypenny
2026-01-07 16:35:12,0.011,Q|Moneypenny
2026-01-07 16:36:12,0.011,Q|Moneypenny
2026-01-07 16:37:12,0.012,Q|Moneypenny
2026-01-07 16:38:12,0.028,Q|Moneypenny
